Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","S8411-45R","Battery_Holder_CR1220_S8411-45R",96.750000,-26.500000,0.000000,top
"C9","330uF 50V","CP_Elec_10x10.5",91.500000,-76.750000,180.000000,top
"C10","330uF 50V","CP_Elec_10x10.5",77.950000,-76.750000,0.000000,top
"D12","RED","LED_0603_1608Metric",21.500000,-19.500000,90.000000,top
"J1","Conn_02x07_Odd_Even","IDC-Header_2x07_P2.54mm_Vertical",16.747500,-27.380000,0.000000,top
"J3","691313710002","691313710002",40.000000,-105.000000,0.000000,top
"J4","691313710002","691313710002",27.000000,-105.000000,0.000000,top
"J5","USB_A_Stacked","DUAL_USB-TYPE_A",97.529950,-101.825300,0.000000,top
"J6","691313710002","691313710002",53.000000,-105.000000,0.000000,top
"J7","USB_A","USB-A-TH_AF-ZJB13.7",18.000000,-59.000000,-90.000000,top
"SW1","DSHP03TS-S","SW-SMD_DSHP03TS-S",65.000000,-107.000000,-90.000000,top
"T1","H1102NL","H1102NL",79.945000,-93.885000,180.000000,top
"U2","ThingsCore-1","ThingsCore-1",63.052959,-98.000000,90.000000,top
"U3","POE_PD_Module","SDAPO_DP9700",107.800000,-19.570000,180.000000,top
"U7","mPCIE-52P-SLOT","mpcie-slot_full",26.888849,-63.083467,0.000000,top
"U8","mPCIE-52P-SLOT","mpcie-slot_full",60.000000,-63.052959,0.000000,top
"U11","RJ45-202-007-02","RJ45-TH_RJ45-202-007-02",80.000000,-104.120000,0.000000,top
"U15","TF-123B-ARP9H17","TF-SMD_TF-123-ARP9H15",72.250000,-23.500000,180.000000,top
"U16","SMN-305-ARP7","NANO-SIM-SMD_SMN-305-ARP7",39.000000,-20.000000,180.000000,top
